order_item_id,order_id,product_id,quantity,unit_price
1,1,39,2,172000
2,2,26,4,79000
3,2,46,3,87000
4,2,80,1,187000
5,2,91,5,125000
6,3,61,3,28000
7,3,62,3,82000
8,3,52,1,88000
9,4,11,2,58000
10,5,65,5,193000
11,6,97,5,187000
12,6,41,3,119000
13,6,43,5,158000
14,7,46,3,87000
15,7,4,4,33000
16,8,89,5,178000
17,8,76,3개,56000
18,8,65,4,193000
19,8,79,1,153000
20,9,70,3,168000
21,9,36,5,193000
22,9,73,1,156000
23,9,42,5,71000
24,10,76,3,56000
25,11,65,5,193000
26,12,49,5,171000
27,12,75,2,183000
28,12,72,1,195000
29,13,22,2,181000
30,13,68,3,149000
31,14,65,3,193000
32,14,48,1,25000
33,15,63,5,141000
34,16,5,4,73000
35,16,70,3,168000
36,16,96,3,96000
37,16,28,5,147000
38,17,40,3,182000
39,17,86,1,145000
40,18,23,2,197000
41,19,21,2,11000
42,20,77,5,111000
43,20,25,3,52000
44,20,55,2,"52,000"
45,21,33,2,44000
46,22,38,2,25000
47,23,70,4,168000
48,23,84,1,42000
49,24,3,1,48000
50,24,10,1,169000
51,25,59,3,5000
52,25,45,2,97000
53,25,70,2,168000
54,25,4,3,33000
55,26,74,2,129000
56,26,65,2,193000
57,26,66,2,41000
58,27,38,4,25000
59,27,72,1,195000
60,28,53,1,105000
61,29,29,3,31000
62,29,96,2,96000
63,29,20,4,79000
64,30,17,2,76000
65,30,81,1,79000
66,31,35,2,53000
67,32,97,4,187000
68,32,64,5,149000
69,33,82,2,170000
70,33,4,2,33000
71,33,72,1,195000
72,34,28,4,147000
73,35,53,1,105000
74,35,70,4,168000
75,36,14,5,17000
76,36,69,1,11000
77,36,18,1,140000
78,36,50,5,103000
79,37,26,1,79000
80,37,1,3,61000
81,37,61,5,28000
82,38,1,4,61000
83,39,67,1,145000
84,39,68,3,149000
85,40,53,2,105000
86,40,25,1,52000
87,40,10,4,169000
88,40,4,5,33000
89,41,92,4,74000
90,41,48,5,25000
91,42,65,2개,193000
92,42,96,1,96000
93,43,40,1,182000
94,43,66,3,41000
95,43,54,4,152000
96,43,99,1,187000
97,44,7,3,161000
98,44,91,5,125000
99,44,48,4,25000
100,45,76,3,56000
101,46,52,3,88000
102,46,32,5,140000
103,46,19,4,127000
104,47,14,2,17000
105,47,39,5,172000
106,47,48,3,25000
107,48,83,4,74000
108,48,8,1,18000
109,49,36,1,193000
110,49,31,1,155000
111,50,86,5,145000
112,50,20,5,79000
113,50,56,3,124000
114,50,30,4,149000
115,51,94,4,85000
116,51,85,4,38000
117,51,65,5,193000
118,52,44,3,29000
119,53,24,5,42000
120,54,45,2,97000
121,54,8,2,18000
122,54,19,5,127000
123,55,61,4,28000
124,55,65,3,193000
125,55,32,1,140000
126,56,53,2,105000
127,56,30,1,149000
128,56,72,4,195000
129,56,20,5,79000
130,57,48,3,25000
131,57,39,3,172000
132,57,60,5,26000
133,58,78,1,54000
134,58,69,1,11000
135,58,82,3,170000
136,58,52,2,88000
137,59,41,2,119000
138,60,97,4,187000
139,60,53,4,105000
140,61,34,2,110000
141,61,12,4,91000
142,61,84,1,42000
143,62,22,1,181000
144,62,78,2,54000
145,62,78,3,54000
146,62,42,1,71000
147,63,87,5,93000
148,63,2,4,154000
149,64,26,1,79000
150,9991,89,5,178000
151,65,17,3,76000
152,65,92,1,74000
153,65,58,5,55000
154,66,79,4,153000
155,66,44,2,29000
156,67,4,4,33000
157,67,83,2,74000
158,67,61,3,28000
159,67,12,2,91000
160,68,75,2,183000
161,69,1,2,61000
162,69,17,2,76000
163,70,88,4,176000
164,71,53,2,105000
165,71,21,4,11000
166,71,82,4,170000
167,72,92,3,74000
168,72,74,5,129000
169,73,27,3,21000
170,73,52,4,88000
171,73,91,1,125000
172,73,55,4,52000
173,74,27,3,21000
174,74,49,3,171000
175,74,2,3,154000
176,75,44,4,29000
177,75,44,3,29000
178,75,85,3,38000
179,75,13,2,18000
180,76,49,4,171000
181,76,75,5,183000
182,76,9,3,75000
183,76,41,4,119000
184,77,75,2,183000
185,77,35,1,53000
186,77,58,1,55000
187,78,27,1,21000
188,79,14,5,"17,000"
189,79,67,4,145000
190,79,14,5,17000
191,79,7,3,161000
192,80,60,4,26000
193,80,74,1,129000
194,80,22,1,181000
195,80,41,5,119000
196,81,44,1,29000
197,81,64,1,149000
198,81,21,4,11000
199,81,15,3,75000
200,82,76,2,56000
201,82,29,4,31000
202,82,41,3,119000
203,82,94,3,85000
204,83,84,1,42000
205,84,41,5개,119000
206,84,92,5,74000
207,84,80,4,187000
208,85,58,2,55000
209,85,32,4,140000
210,85,97,3,187000
211,85,87,2,93000
212,86,19,3,127000
213,86,83,2,74000
214,86,95,1,82000
215,87,40,4,182000
216,87,78,4,54000
217,87,2,3,154000
218,88,59,2,5000
219,89,93,2,121000
220,89,98,4,32000
221,89,5,4,73000
222,90,30,4,149000
223,90,72,4,195000
224,90,78,1,54000
225,91,63,3,141000
226,91,30,1,149000
227,91,97,1,187000
228,91,42,5,71000
229,92,13,4,18000
230,92,87,4,93000
231,93,74,5,129000
232,93,65,4,193000
233,94,12,2,91000
234,94,82,5,170000
235,94,58,3,55000
236,95,89,4,178000
237,96,85,3,38000
238,96,35,1,53000
239,97,78,2,54000
240,97,77,1,111000
241,97,64,5,149000
242,97,95,3,82000
243,98,75,5,183000
244,99,65,3,193000
245,100,100,5,34000
246,100,74,4,129000
247,100,50,1,103000
248,100,13,3,18000
249,101,15,3,75000
250,101,41,2,119000
251,101,54,4,152000
252,102,25,3,52000
253,103,20,4,79000
254,103,80,3,187000
255,103,60,5,26000
256,104,58,2,55000
257,104,63,5,141000
258,105,66,5,41000
259,105,83,2,74000
260,105,9991,1,76000
261,105,4,3,33000
262,106,58,3,55000
263,107,72,1,195000
264,107,9,5,75000
265,107,83,3,74000
266,107,86,2,145000
267,108,47,2,188000
268,108,67,5,145000
269,108,43,5,158000
270,109,97,2,187000
271,109,61,2,28000
272,109,94,4,85000
273,110,57,2,96000
274,110,64,3,149000
275,110,51,1,183000
276,110,50,4,103000
277,111,30,5,unknown
278,111,13,1,18000
279,111,75,1,183000
280,112,57,4,96000
281,112,6,3,134000
282,112,5,3,73000
283,113,97,2,187000
284,113,31,4,155000
285,114,30,1,149000
286,114,39,1,172000
287,115,62,4,82000
288,116,54,4,152000
289,117,45,5,97000
290,117,28,3,147000
291,117,47,5,188000
292,118,16,2,21000
293,118,42,1,71000
294,119,36,5,193000
295,119,59,5,5000
296,119,72,4,195000
297,119,9,2,75000
298,120,86,5,145000
299,120,78,4,54000
300,121,92,4,74000
301,121,93,1,121000
302,121,82,4,170000
303,122,98,4,32000
304,123,46,5,87000
305,123,84,1,42000
306,123,81,4,79000
307,124,12,4,91000
308,125,9,1,75000
309,125,28,2,147000
310,125,67,4,145000
311,125,75,4,183000
312,126,47,2,188000
313,127,11,5,58000
314,127,56,4,124000
315,128,19,3,127000
316,128,92,4,74000
317,128,75,3,183000
318,129,65,4,193000
319,129,57,three,96000
320,129,23,5,197000
321,129,14,2,17000
322,130,98,1,32000
323,130,48,2,25000
324,131,15,5,75000
325,131,74,3,129000
326,131,38,4,25000
327,131,54,2,152000
328,132,20,3,79000
329,132,74,3,129000
330,133,49,4,171000
331,133,6,2,134000
332,133,78,2,54000
333,133,26,3,79000
334,134,96,1,96000
335,134,75,4,183000
336,134,87,3,93000
337,134,32,1,140000
338,135,88,4,176000
